Latitude,Longitude,Country,PowerPlant Site
-35.738249402745964,-57.644192814857036,Argentina,False
-34.78361416884675,-63.33185105462182,Argentina,False
-48.15884864239489,-67.1245764253963,Argentina,False
-48.14008256976436,-74.15791995218359,Chile,False
-49.07281581004058,-74.03682038583003,Chile,False
-30.434994889683832,-70.12825940661182,Chile,False
-46.06061942633765,-71.91529672334305,Chile,False
-49.85357406991458,-74.36246539223748,Chile,False
-45.82074762700545,-74.17871787472272,Chile,False
-49.27911303362943,-75.19593374232242,Chile,False
-30.550682613894224,-71.19744117291411,Chile,False
-32.81589707107484,-71.10668979418342,Chile,False
-52.699629409820965,-69.62519853086867,Chile,False
-46.30145908223407,-72.46970327389985,Chile,False
-47.4814397787296,-72.73284766661372,Chile,False
-52.45086874791449,-73.36579886546204,Chile,False
-34.9551284903592,-70.98397395601317,Chile,False
-51.924900540222204,-73.71069054428503,Chile,False
-50.70750503867444,-75.1376109638365,Chile,False
-54.27383584968028,-69.84652193340753,Chile,False
-48.30595032623884,-72.57047694751651,Chile,False
-48.60454002168617,-75.2955365679259,Chile,False
-38.405108903973684,-71.43743666123139,Chile,False
-7.234180705274691,22.672649342934143,Democratic Republic of the Congo,False
3.632671138562639,21.896281453746596,Democratic Republic of the Congo,False
0.8210862364487959,27.92611378769929,Democratic Republic of the Congo,False
2.7760672056886726,22.01963406578428,Democratic Republic of the Congo,False
-3.530119693105336,20.84725885655687,Democratic Republic of the Congo,False
-10.557519564290896,24.463790346120696,Democratic Republic of the Congo,False
-9.984424450300011,24.843573370260533,Democratic Republic of the Congo,False
-6.581905583121831,26.548849034007077,Democratic Republic of the Congo,False
-4.716464666956794,24.575953219662118,Democratic Republic of the Congo,False
2.661011989568266,24.952912625296086,Democratic Republic of the Congo,False
5.081671742195962,25.833291152829965,Democratic Republic of the Congo,False
3.5700841031311583,23.907169024007132,Democratic Republic of the Congo,False
-4.029327793880231,19.267325356916068,Democratic Republic of the Congo,False
3.0135408683860625,20.048314620461873,Democratic Republic of the Congo,False
4.345686194924848,22.92921508857693,Democratic Republic of the Congo,False
-3.6715395057858515,28.101711642293303,Democratic Republic of the Congo,False
5.182836791625526,26.10772477148902,Democratic Republic of the Congo,False
3.528417151031686,28.149264015579266,Democratic Republic of the Congo,False
1.2828066077740718,27.64017031881917,Democratic Republic of the Congo,False
-6.6980794835471595,26.6307504278137,Democratic Republic of the Congo,False
6.198634596396065,47.67512239977914,Somalia,False
3.811261814283313,45.63851225424554,Somalia,False
4.382624684811395,43.19823916620765,Somalia,False
4.295449009767633,47.56057649958644,Somalia,False
8.417041571280809,48.77503602584613,Somalia,False
1.3771922130129006,41.25890971687071,Somalia,False
-0.8114518849107882,41.754880738296585,Somalia,False
3.251530345579403,43.37459596809554,Somalia,False
2.5474506616946826,43.27883163275449,Somalia,False
6.6492559190279055,46.94925346980081,Somalia,False
2.8498963087802913,45.42271332097537,Somalia,False
9.185616870280068,49.51004655141412,Somalia,False
8.600599973163643,49.41981761507488,Somalia,False
11.135098776431125,49.62654359372806,Somalia,False
3.5591332362977353,43.27371476941792,Somalia,False
1.0785425558819415,43.81549767837976,Somalia,False
4.722374713470301,47.567875110559925,Somalia,False
6.292548553636939,47.75809020515994,Somalia,False
3.6271432384849502,42.99272917843223,Somalia,False
6.297379107186022,46.76953826541529,Somalia,False
1.4544777866447998,37.30963142238632,Kenya,False
-0.3446367021973238,36.22323841261766,Kenya,False
-0.7392836215137772,40.492435613241724,Kenya,False
-0.734845105015562,34.82596027558331,Kenya,False
2.7658949640947457,39.16824195430438,Kenya,False
-1.4287189337413069,37.17657907142344,Kenya,False
-1.0370651486790745,34.859273142358425,Kenya,False
3.014999990588481,37.21787675931644,Kenya,False
4.116777681093473,34.97068454465922,Kenya,False
2.828161572702135,39.9039543387109,Kenya,False
-2.4931470075266713,39.60123232223988,Kenya,False
4.3329899013075215,34.471401621720574,Kenya,False
2.4490108206109955,36.74413629288694,Kenya,False
-2.013379451270077,37.83997147473587,Kenya,False
2.996188973398511,35.58633012615701,Kenya,False
1.4890520757544907,37.37932878503426,Kenya,False
-3.4839425254777403,37.87050415218366,Kenya,False
-0.9189124967722742,34.68283184354078,Kenya,False
-0.33475897087773365,34.107916633003434,Kenya,False
3.0432662900513536,36.08765015069368,Kenya,False
9.701889607359314,27.49005756883176,Sudan,False
